team,possession,shots,sot,sot_pct,g_per_sh,ga,sota,saves,save_pct,cs,crdy,crdr
Algeria,61.0,44,15,34.1,0.11,9,17,8,47.1,0,3,0
Argentina,57.6,114,44,38.6,0.15,8,28,20,71.4,2,15,1
Australia,41.0,42,12,28.6,0.05,3,17,14,82.4,2,5,0
Austria,45.0,32,8,25.0,0.13,9,22,13,59.1,0,5,0
Belgium,51.2,112,34,30.4,0.11,7,23,16,69.6,1,6,1
Bosnia–Herz,46.0,37,14,37.8,0.11,8,14,6,42.9,0,7,1
Brazil,53.0,74,30,40.5,0.12,4,18,14,77.8,2,8,0
Cabo Verde,37.3,49,12,24.5,0.08,5,23,18,78.3,2,5,0
Canada,54.4,80,31,38.8,0.1,6,12,6,50.0,2,11,0
Colombia,57.8,94,30,31.9,0.05,1,7,6,85.7,4,8,0
Congo DR,40.0,41,9,22.0,0.1,5,19,14,73.7,0,6,0
Croatia,49.8,37,17,45.9,0.16,7,17,10,58.8,1,4,0
Curaçao,32.3,29,7,24.1,0.03,9,29,20,69.0,1,7,0
Czechia,42.7,34,8,23.5,0.06,6,15,9,60.0,0,1,0
Côte d'Ivoire,49.8,45,14,31.1,0.11,4,13,9,69.2,2,4,0
Ecuador,55.8,53,20,37.7,0.04,4,13,9,69.2,1,8,1
Egypt,51.4,67,18,26.9,0.12,7,19,12,63.2,0,12,0
England,54.1,118,53,44.9,0.14,12,32,20,62.5,2,8,1
France,55.9,139,59,42.4,0.14,10,22,12,54.5,4,6,0
Germany,65.0,74,28,37.8,0.14,5,10,5,50.0,0,3,0
Ghana,36.3,24,4,16.7,0.08,3,19,16,84.2,2,6,0
Haiti,42.7,31,7,22.6,0.03,8,19,11,57.9,0,7,0
IR Iran,39.0,37,11,29.7,0.08,3,18,15,83.3,1,6,0
Iraq,38.3,21,2,9.5,0.05,12,23,11,47.8,0,4,1
Japan,46.3,34,13,38.2,0.24,5,17,12,70.6,1,4,0
Jordan,30.7,24,9,37.5,0.13,8,16,8,50.0,0,4,0
Korea Republic,63.0,32,11,34.4,0.06,3,12,9,75.0,0,4,0
Mexico,52.2,70,21,30.0,0.13,3,11,8,72.7,4,4,1
Morocco,59.0,69,26,37.7,0.14,6,20,14,70.0,2,7,0
Netherlands,53.3,46,22,47.8,0.22,5,21,16,76.2,0,3,0
New Zealand,47.0,31,15,48.4,0.13,10,21,11,52.4,0,4,0
Norway,52.2,66,29,43.9,0.18,11,31,20,64.5,0,3,0
Panama,45.7,32,7,21.9,0.0,4,11,7,63.6,0,5,0
Paraguay,30.0,35,8,22.9,0.09,6,29,23,79.3,2,9,1
Portugal,58.4,62,17,27.4,0.1,3,22,19,86.4,2,7,0
Qatar,33.0,18,7,38.9,0.11,10,22,12,54.5,0,4,2
Saudi Arabia,38.3,17,7,41.2,0.06,5,21,16,76.2,1,6,0
Scotland,44.3,29,7,24.1,0.03,4,12,8,66.7,1,5,0
Senegal,55.3,69,23,33.3,0.14,9,21,12,57.1,1,3,0
South Africa,48.0,39,11,28.2,0.03,4,15,11,73.3,1,5,2
Spain,64.1,140,54,38.6,0.09,1,11,9,90.9,7,6,0
Sweden,46.3,48,23,47.9,0.15,10,24,14,58.3,0,5,0
Switzerland,54.0,74,30,40.5,0.11,6,26,20,76.9,2,8,1
Tunisia,39.3,18,6,33.3,0.11,12,18,6,33.3,0,1,0
Türkiye,66.3,71,16,22.5,0.04,5,13,8,61.5,0,2,0
United States,56.8,59,19,32.2,0.15,8,16,8,50.0,2,7,1
Uruguay,55.0,49,13,26.5,0.06,4,8,4,50.0,0,5,1
Uzbekistan,38.3,18,5,27.8,0.11,11,17,6,35.3,0,4,0
