year,host,winner,teams,matches,goals,goals_per_match
1930,Uruguay,Uruguay,13,18,70,3.89
1934,Italy,Italy,16,17,70,4.12
1938,France,Italy,15,18,84,4.67
1950,Brazil,Uruguay,13,22,88,4.0
1954,Switzerland,West Germany,16,26,140,5.38
1958,Sweden,Brazil,16,35,126,3.6
1962,Chile,Brazil,16,32,89,2.78
1966,England,England,16,32,89,2.78
1970,Mexico,Brazil,16,32,95,2.97
1974,West Germany,West Germany,16,38,97,2.55
1978,Argentina,Argentina,16,38,102,2.68
1982,Spain,Italy,24,52,146,2.81
1986,Mexico,Argentina,24,52,132,2.54
1990,Italy,West Germany,24,52,115,2.21
1994,United States,Brazil,24,52,141,2.71
1998,France,France,32,64,171,2.67
2002,"Korea, Japan",Brazil,32,64,161,2.52
2006,Germany,Italy,32,64,147,2.3
2010,South Africa,Spain,32,64,145,2.27
2014,Brazil,Germany,32,64,171,2.67
2018,Russia,France,32,64,169,2.64
2022,Qatar,Argentina,32,64,172,2.69
